Year,Female,Male,Total,Countries
1860,23262,24464,47726,Australia
1861,23806,25102,48908,Australia
1862,24896,26483,51379,Australia
1863,25134,26233,51367,Australia
1864,26838,28608,55446,Australia
1865,27986,29175,57161,Australia
1866,27457,28927,56384,Australia
1867,28922,30245,59167,Australia
1868,29896,31269,61165,Australia
1869,29527,30996,60523,Australia
1870,30437,32195,62632,Australia
1871,30921,32704,63625,Australia
1872,31589,32233,63822,Australia
1873,32561,33667,66228,Australia
1874,32809,34221,67030,Australia
1875,32970,34257,67227,Australia
1876,33903,35358,69261,Australia
1877,34041,35752,69793,Australia
1878,35321,37640,72961,Australia
1879,37203,38882,76085,Australia
1880,37757,39683,77440,Australia
1881,38884,41120,80004,Australia
1882,39600,41343,80943,Australia
1883,41533,43669,85202,Australia
1884,44392,46602,90994,Australia
1885,46210,48363,94573,Australia
1886,47227,49733,96960,Australia
1887,49309,51607,100916,Australia
1888,50888,53192,104080,Australia
1889,50678,54046,104724,Australia
1890,53384,55299,108683,Australia
1891,53758,56429,110187,Australia
1892,53699,56459,110158,Australia
1893,53125,56197,109322,Australia
1894,50957,53703,104660,Australia
1895,51184,53900,105084,Australia
1896,48979,51155,100134,Australia
1897,49440,51697,101137,Australia
1898,48041,50804,98845,Australia
1899,49209,51429,100638,Australia
1900,49881,52340,102221,Australia
1901,50436,52509,102945,Australia
1902,50160,52616,102776,Australia
1903,48037,50406,98443,Australia
1904,50755,53358,104113,Australia
1905,51046,53895,104941,Australia
1906,52376,55514,107890,Australia
1907,53858,56489,110347,Australia
1908,54432,57113,111545,Australia
1909,55589,58482,114071,Australia
1910,56595,60206,116801,Australia
1911,59685,62508,122193,Australia
1912,65066,68022,133088,Australia
1913,66280,69434,135714,Australia
1914,67379,70604,137983,Australia
1915,65822,69049,134871,Australia
1916,63921,67505,131426,Australia
1917,63082,66883,129965,Australia
1918,61281,64458,125739,Australia
1919,59359,62931,122290,Australia
1920,66150,70256,136406,Australia
1921,66159,70039,136198,Australia
1922,66914,70582,137496,Australia
1923,65857,69365,135222,Australia
1924,66127,68800,134927,Australia
1925,66250,69542,135792,Australia
1926,64740,68422,133162,Australia
1927,64818,68880,133698,Australia
1928,64926,69152,134078,Australia
1929,62857,66623,129480,Australia
1930,62516,65883,128399,Australia
1931,57488,61021,118509,Australia
1932,53958,56975,110933,Australia
1933,54109,57160,111269,Australia
1934,53627,55848,109475,Australia
1935,54433,56892,111325,Australia
1936,56679,59394,116073,Australia
1937,58226,60905,119131,Australia
1938,58523,61892,120415,Australia
1939,59838,63053,122891,Australia
1940,61752,64595,126347,Australia
1941,65564,68961,134525,Australia
1942,66481,70227,136708,Australia
1943,72942,76353,149295,Australia
1944,75002,78342,153344,Australia
1945,78103,82457,160560,Australia
1946,85411,90968,176379,Australia
1947,88566,93818,182384,Australia
1948,86665,91311,177976,Australia
1949,88515,92746,181261,Australia
1950,92761,97830,190591,Australia
1951,93897,99401,193298,Australia
1952,98269,103381,201650,Australia
1953,98736,103499,202235,Australia
1954,98701,103555,202256,Australia
1955,101227,106450,207677,Australia
1956,102544,109589,212133,Australia
1957,107121,113237,220358,Australia
1958,108547,113957,222504,Australia
1959,110735,116241,226976,Australia
1960,111911,118415,230326,Australia
1961,116874,123112,239986,Australia
1962,114971,122110,237081,Australia
1963,114553,121136,235689,Australia
1964,111087,118062,229149,Australia
1965,108388,114466,222854,Australia
1966,108653,115078,223731,Australia
1967,111616,117680,229296,Australia
1968,117279,123627,240906,Australia
1969,121905,128271,250176,Australia
1970,125544,131972,257516,Australia
1971,135248,141114,276362,Australia
1972,128960,136009,264969,Australia
1973,120701,126969,247670,Australia
1974,118882,126295,245177,Australia
1975,113012,119726,232738,Australia
1976,110761,116598,227359,Australia
1977,110070,117002,227072,Australia
1978,109763,115187,224950,Australia
1979,108462,114859,223321,Australia
1980,110192,116282,226474,Australia
1981,115511,122141,237652,Australia
1982,116038,122737,238775,Australia
1983,118256,124746,243002,Australia
1984,118256,123982,242238,Australia
1985,118886,125151,244037,Australia
1986,118641,125245,243886,Australia
1987,118856,125343,244199,Australia
1988,122483,128825,251308,Australia
1989,124089,130517,254606,Australia
1990,127810,135002,262812,Australia
1991,125601,132673,258274,Australia
1992,128743,135511,264254,Australia
1993,127177,134344,261521,Australia
1994,127504,134708,262212,Australia
1995,126674,133482,260156,Australia
1996,125288,132586,257874,Australia
